Original,Suspeito,Score
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu zenith 60hp,91
motor diesel tohatsu zenith 60hp,motor diesel tohatsu evo zenith 16hp,91
motor de popa volvo maré 69hp,motor de popa volvo magnum 276hp,87
motor de popa volvo magnum 276hp,motor de popa volvo maré 69hp,87
boia de arqueamento bruce titan,boia de arqueamento bruce dash titan pulse,85
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth flux tidal,87
boia de arqueamento delta force vox,boia de arqueamento delta nexus,85
boia de arqueamento danforth flux tidal,boia de arqueamento danforth tidal zen swift,87
boia de arqueamento delta nexus,boia de arqueamento delta force vox,85
boia de arqueamento danforth core vortex,boia de arqueamento danforth torque,85
boia de arqueamento danforth torque,boia de arqueamento danforth core vortex,85
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce titan,85
transponder furuno marlin,transponder furuno force ion,79
piloto automático furuno storm,piloto automático furuno torque peak,84
transponder ais titan pulse,transponder ais boost,75
transponder ais titan pulse,transponder furuno pulse axis,75
piloto automático simrad titan flux magnum,piloto automático simrad poseidon magnum,75
rádio furuno zen swift,radar furuno swift,77
rádio simrad axis,rádio simrad orca,81
transponder furuno force ion,transponder furuno marlin,79
piloto automático furuno torque peak,piloto automático furuno storm,84
rádio simrad orca,rádio simrad axis,81
transponder ais boost,transponder ais titan pulse,75
transponder furuno pulse axis,transponder ais titan pulse,75
transponder ais helix torque,transponder lowrance axis,75
radar furuno swift,sonda furuno swift,83
radar furuno swift,rádio furuno zen swift,77
transponder lowrance axis,transponder ais helix torque,75
sonda furuno swift,radar furuno swift,83
piloto automático simrad poseidon magnum,piloto automático simrad titan flux magnum,75
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu zenith 60hp,91
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu vector 197hp,78
motor diesel tohatsu evo zenith 16hp,motor de popa tohatsu evo 168hp,75
motor de popa yamaha evo dash 155hp,motor de popa yamaha mako 108hp,79
motor de popa yamaha mako 108hp,motor de popa yamaha evo dash 155hp,79
motor diesel parsun boost helix velocity 146hp,motor diesel parsun velocity abyss orca 235hp,75
motor de popa volvo hydro dash 256hp,motor de popa volvo maré 69hp,78
motor diesel tohatsu vector 197hp,motor diesel tohatsu zenith 60hp,80
motor diesel tohatsu vector 197hp,motor diesel tohatsu evo zenith 16hp,78
motor diesel tohatsu zenith 60hp,motor diesel tohatsu evo zenith 16hp,91
motor diesel tohatsu zenith 60hp,motor diesel tohatsu vector 197hp,80
motor de popa volvo maré 69hp,motor de popa volvo magnum 276hp,87
motor de popa volvo maré 69hp,motor de popa volvo hydro dash 256hp,78
motor elétrico yamaha orca storm zenith 11hp,motor elétrico tohatsu zenith oceanic 113hp,80
motor elétrico tohatsu zenith oceanic 113hp,motor elétrico yamaha orca storm zenith 11hp,80
motor de popa volvo magnum 276hp,motor de popa volvo maré 69hp,87
motor de popa tohatsu evo 168hp,motor diesel tohatsu evo zenith 16hp,75
motor diesel parsun velocity abyss orca 235hp,motor diesel parsun boost helix velocity 146hp,75
cabo de nylon delta vortex,cabo de nylon delta zen vortex storm,84
cabo de nylon bruce nexus,cabo de nylon bruce core,82
cabo de nylon bruce nexus,cabo de nylon bruce flux hydro,76
cabo de nylon delta zen vortex storm,cabo de nylon delta vortex,84
cabo de nylon danforth prime,cabo de nylon danforth orca aero,80
cabo de nylon danforth prime,cabo de nylon danforth titan poseidon,77
cabo de nylon danforth prime,cabo de nylon danforth kinetic,76
cabo de nylon danforth prime,cabo de nylon danforth magnum vox,75
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce marlin hydra,84
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce titan,84
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce dash titan pulse,78
boia de arqueamento bruce tidal marlin,boia de arqueamento danforth flux tidal,75
boia de arqueamento bruce titan,boia de arqueamento bruce dash titan pulse,85
boia de arqueamento bruce titan,boia de arqueamento bruce tidal marlin,84
boia de arqueamento bruce titan,boia de arqueamento bruce marlin hydra,81
boia de arqueamento bruce titan,boia de arqueamento bruce nexus abyss,79
corrente bruce current,corrente bruce nautic evo,77
boia de arqueamento danforth aero dash,boia de arqueamento danforth torque,79
boia de arqueamento danforth aero dash,boia de arqueamento danforth tidal zen swift,76
boia de arqueamento danforth aero dash,boia de arqueamento danforth flux tidal,75
corrente danforth tidal,corrente danforth hydro,83
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth flux tidal,87
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth torque,78
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth aero dash,76
boia de arqueamento delta force vox,boia de arqueamento delta nexus,85
boia de arqueamento delta force vox,boia de arqueamento delta zen boost vortex,78
boia de arqueamento delta force vox,boia de arqueamento danforth core vortex,77
boia de arqueamento danforth flux tidal,boia de arqueamento danforth tidal zen swift,87
boia de arqueamento danforth flux tidal,boia de arqueamento danforth torque,81
boia de arqueamento danforth flux tidal,boia de arqueamento danforth core vortex,76
boia de arqueamento danforth flux tidal,boia de arqueamento bruce tidal marlin,75
boia de arqueamento delta nexus,boia de arqueamento delta force vox,85
boia de arqueamento delta nexus,boia de arqueamento bruce nexus abyss,79
boia de arqueamento delta nexus,boia de arqueamento delta peak boost thrust,78
boia de arqueamento delta nexus,boia de arqueamento bruce titan,77
cabo de nylon danforth orca aero,cabo de nylon danforth prime,80
corrente delta axis,corrente delta boost,82
cabo de nylon danforth kinetic,cabo de nylon danforth magnum vox,76
cabo de nylon danforth kinetic,cabo de nylon danforth prime,76
corrente danforth hydro,corrente danforth tidal,83
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce tidal marlin,84
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce titan,81
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce dash titan pulse,75
corrente delta boost,corrente delta axis,82
boia de arqueamento delta zen boost vortex,boia de arqueamento delta peak boost thrust,80
boia de arqueamento delta zen boost vortex,boia de arqueamento delta force vox,78
boia de arqueamento delta zen boost vortex,boia de arqueamento delta nexus,77
boia de arqueamento danforth core vortex,boia de arqueamento danforth torque,85
boia de arqueamento danforth core vortex,boia de arqueamento delta force vox,77
boia de arqueamento danforth core vortex,boia de arqueamento danforth flux tidal,76
corrente bruce nautic evo,corrente bruce current,77
cabo de nylon danforth titan poseidon,cabo de nylon danforth prime,77
cabo de nylon bruce flux hydro,cabo de nylon bruce nexus,76
boia de arqueamento delta peak boost thrust,boia de arqueamento delta zen boost vortex,80
boia de arqueamento delta peak boost thrust,boia de arqueamento delta nexus,78
boia de arqueamento danforth torque,boia de arqueamento danforth core vortex,85
boia de arqueamento danforth torque,boia de arqueamento danforth flux tidal,81
boia de arqueamento danforth torque,boia de arqueamento danforth aero dash,79
boia de arqueamento danforth torque,boia de arqueamento danforth tidal zen swift,78
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce titan,85
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce tidal marlin,78
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce marlin hydra,75
boia de arqueamento bruce nexus abyss,boia de arqueamento bruce titan,79
boia de arqueamento bruce nexus abyss,boia de arqueamento delta nexus,79
boia de arqueamento bruce barracuda,boia de arqueamento bruce titan,76
cabo de nylon bruce core,cabo de nylon bruce nexus,82
cabo de nylon danforth magnum vox,cabo de nylon danforth kinetic,76
cabo de nylon danforth magnum vox,cabo de nylon danforth prime,75
transponder ais maré magnum,transponder ais boost,83
transponder ais maré magnum,transponder ais vector,81
transponder furuno marlin,transponder furuno force ion,84
transponder furuno marlin,transponder furuno pulse axis,84
transponder furuno marlin,transponder garmin drift vortex marlin,84
radar furuno pulse leviathan,radar furuno swift,80
rádio ais hydro tidal zen,gps ais zen,78
piloto automático furuno storm,piloto automático furuno torque peak,88
piloto automático furuno storm,piloto automático furuno core boost flux,88
piloto automático furuno storm,piloto automático ais core,78
transponder ais vector,transponder ais boost,83
transponder ais vector,transponder ais maré magnum,81
transponder ais vector,transponder ais titan pulse,81
transponder ais vector,transponder ais helix torque,81
radar ais zen,radar ais marlin,82
radar ais zen,gps ais zen,78
gps ais zen,rádio ais hydro tidal zen,78
gps ais zen,radar ais zen,78
gps ais zen,gps ais drift flux vox,78
gps ais zen,gps ais nautic thrust,78
transponder ais titan pulse,transponder ais boost,83
transponder ais titan pulse,transponder furuno pulse axis,82
transponder ais titan pulse,transponder ais vector,81
piloto automático simrad titan flux magnum,piloto automático simrad poseidon magnum,87
piloto automático simrad titan flux magnum,piloto automático ais core,78
gps furuno swift leviathan poseidon,radar furuno swift,80
gps furuno swift leviathan poseidon,sonda furuno swift,80
gps ais drift flux vox,gps ais zen,78
rádio furuno zen swift,radar furuno swift,80
rádio furuno zen swift,sonda furuno swift,80
rádio simrad axis,rádio simrad orca,81
rádio simrad axis,rádio simrad tidal aqua,81
radar ais marlin,radar ais zen,82
radar ais marlin,gps ais orca marlin velocity,77
gps ais nautic thrust,gps ais zen,78
transponder furuno force ion,transponder furuno marlin,84
transponder furuno force ion,transponder furuno pulse axis,78
piloto automático furuno torque peak,piloto automático furuno storm,88
piloto automático furuno torque peak,piloto automático furuno core boost flux,79
piloto automático furuno torque peak,piloto automático ais core,78
gps ais orca marlin velocity,gps ais zen,78
gps ais orca marlin velocity,radar ais marlin,77
piloto automático furuno core boost flux,piloto automático ais core,91
piloto automático furuno core boost flux,piloto automático furuno storm,88
piloto automático furuno core boost flux,piloto automático furuno torque peak,79
gps garmin vortex maré drift,transponder garmin drift vortex marlin,83
piloto automático ais core,piloto automático furuno core boost flux,91
piloto automático ais core,piloto automático furuno storm,78
piloto automático ais core,piloto automático simrad titan flux magnum,78
piloto automático ais core,piloto automático furuno torque peak,78
rádio simrad orca,rádio simrad axis,81
rádio simrad orca,rádio simrad tidal aqua,81
transponder ais boost,transponder ais maré magnum,83
transponder ais boost,transponder ais vector,83
transponder ais boost,transponder ais titan pulse,83
transponder ais boost,transponder ais helix torque,83
transponder furuno pulse axis,transponder furuno marlin,84
transponder furuno pulse axis,transponder ais titan pulse,82
transponder furuno pulse axis,transponder furuno force ion,78
transponder furuno pulse axis,transponder lowrance axis,78
transponder garmin drift vortex marlin,transponder furuno marlin,84
transponder garmin drift vortex marlin,gps garmin vortex maré drift,83
transponder ais helix torque,transponder ais boost,83
transponder ais helix torque,transponder ais vector,81
transponder ais helix torque,transponder lowrance axis,75
radar furuno swift,sonda furuno swift,83
radar furuno swift,radar furuno pulse leviathan,80
radar furuno swift,gps furuno swift leviathan poseidon,80
radar furuno swift,rádio furuno zen swift,80
sonda furuno maré tidal,sonda furuno swift,80
transponder lowrance axis,transponder furuno pulse axis,78
transponder lowrance axis,transponder ais vector,77
transponder lowrance axis,transponder ais helix torque,75
gps simrad zen hydra peak,gps ais zen,78
rádio simrad tidal aqua,rádio simrad axis,81
rádio simrad tidal aqua,rádio simrad orca,81
sonda furuno swift,radar furuno swift,83
sonda furuno swift,gps furuno swift leviathan poseidon,80
sonda furuno swift,rádio furuno zen swift,80
sonda furuno swift,sonda furuno maré tidal,80
piloto automático simrad poseidon magnum,piloto automático simrad titan flux magnum,87
piloto automático simrad poseidon magnum,piloto automático ais core,78
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu zenith 60hp,92
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu vector 197hp,81
motor diesel tohatsu evo zenith 16hp,motor de popa tohatsu evo 168hp,78
motor diesel honda zen tidal mako 26hp,motor diesel honda prime 84hp,77
motor diesel honda zen tidal mako 26hp,motor diesel honda aero 205hp,77
motor elétrico torqeedo zen titan hydra 129hp,motor elétrico torqeedo pulse 300hp,79
motor de popa yamaha evo dash 155hp,motor de popa yamaha mako 108hp,82
motor diesel volvo flow oceanic 259hp,motor diesel volvo flow leviathan maré 187hp,77
motor elétrico torqeedo velocity swift 74hp,motor elétrico torqeedo pulse 300hp,79
motor de popa honda vector kinetic 174hp,motor de popa honda ion vox prime 163hp,76
motor de popa honda vector kinetic 174hp,motor de popa honda velocity drift 258hp,75
motor de popa honda vector kinetic 174hp,motor de popa honda torque 228hp,75
motor de popa tohatsu ion core nautic 53hp,motor de popa tohatsu evo 168hp,81
motor de popa honda velocity drift 258hp,motor de popa honda vector kinetic 174hp,75
motor de popa honda velocity drift 258hp,motor de popa honda torque 228hp,75
motor diesel honda prime 84hp,motor diesel honda aero 205hp,79
motor diesel honda prime 84hp,motor diesel honda zen tidal mako 26hp,77
motor diesel honda prime 84hp,motor diesel honda leviathan 133hp,77
motor diesel yanmar velocity 37hp,motor diesel parsun boost helix velocity 146hp,78
motor diesel yanmar velocity 37hp,motor diesel parsun velocity abyss orca 235hp,78
motor elétrico torqeedo ion orca vox 186hp,motor elétrico torqeedo pulse 300hp,79
motor elétrico yamaha swift drift current 265hp,motor elétrico yamaha flow 204hp,78
motor de popa torqeedo nautic swift 223hp,motor de popa torqeedo zenith peak thrust 212hp,77
motor de popa torqeedo nautic swift 223hp,motor de popa torqeedo ultra impulse 292hp,75
motor de popa tohatsu poseidon helix prime 135hp,motor de popa tohatsu evo 168hp,81
motor de popa tohatsu poseidon helix prime 135hp,motor diesel tohatsu kinetic poseidon 113hp,77
motor de popa yamaha mako 108hp,motor de popa yamaha evo dash 155hp,82
motor de popa yamaha mako 108hp,motor de popa yamaha thrust marlin nexus 182hp,78
motor de popa honda ion vox prime 163hp,motor de popa honda vector kinetic 174hp,76
motor de popa honda ion vox prime 163hp,motor de popa honda torque 228hp,75
motor de popa torqeedo ultra impulse 292hp,motor de popa parsun impulse 162hp,76
motor de popa torqeedo ultra impulse 292hp,motor de popa torqeedo nautic swift 223hp,75
motor diesel parsun boost helix velocity 146hp,motor diesel yanmar velocity 37hp,78
motor diesel parsun boost helix velocity 146hp,motor diesel parsun velocity abyss orca 235hp,77
motor elétrico torqeedo pulse 300hp,motor elétrico torqeedo zen titan hydra 129hp,79
motor elétrico torqeedo pulse 300hp,motor elétrico torqeedo velocity swift 74hp,79
motor elétrico torqeedo pulse 300hp,motor elétrico torqeedo ion orca vox 186hp,79
motor elétrico torqeedo pulse 300hp,motor elétrico torqeedo barracuda magnum helix 101hp,79
motor de popa volvo hydro dash 256hp,motor de popa volvo maré 69hp,81
motor de popa volvo hydro dash 256hp,motor de popa volvo magnum 276hp,76
motor de popa honda torque 228hp,motor de popa honda velocity drift 258hp,75
motor de popa honda torque 228hp,motor de popa honda vector kinetic 174hp,75
motor de popa honda torque 228hp,motor de popa honda ion vox prime 163hp,75
motor diesel volvo flow leviathan maré 187hp,motor diesel honda leviathan 133hp,79
motor diesel volvo flow leviathan maré 187hp,motor diesel volvo flow oceanic 259hp,77
motor diesel honda aero 205hp,motor diesel honda prime 84hp,79
motor diesel honda aero 205hp,motor diesel honda zen tidal mako 26hp,77
motor diesel honda aero 205hp,motor diesel honda leviathan 133hp,77
motor diesel tohatsu vector 197hp,motor diesel tohatsu evo zenith 16hp,81
motor diesel tohatsu vector 197hp,motor diesel tohatsu zenith 60hp,80
motor diesel tohatsu vector 197hp,motor diesel tohatsu kinetic poseidon 113hp,75
motor elétrico honda mako axis 131hp,motor elétrico honda flux ultra 273hp,76
motor diesel tohatsu zenith 60hp,motor diesel tohatsu evo zenith 16hp,92
motor diesel tohatsu zenith 60hp,motor diesel tohatsu vector 197hp,80
motor diesel tohatsu zenith 60hp,motor diesel tohatsu kinetic poseidon 113hp,77
motor diesel tohatsu zenith 60hp,motor elétrico tohatsu zenith oceanic 113hp,77
motor de popa volvo maré 69hp,motor de popa volvo magnum 276hp,87
motor de popa volvo maré 69hp,motor de popa volvo hydro dash 256hp,81
motor elétrico torqeedo barracuda magnum helix 101hp,motor elétrico torqeedo pulse 300hp,79
motor elétrico volvo nautic vox 118hp,motor elétrico volvo boost 225hp,76
motor de popa torqeedo zenith peak thrust 212hp,motor de popa torqeedo nautic swift 223hp,77
motor de popa parsun impulse 162hp,motor de popa torqeedo ultra impulse 292hp,76
motor elétrico volvo boost 225hp,motor elétrico volvo nautic vox 118hp,76
motor diesel tohatsu kinetic poseidon 113hp,motor de popa tohatsu poseidon helix prime 135hp,77
motor diesel tohatsu kinetic poseidon 113hp,motor diesel tohatsu zenith 60hp,77
motor diesel tohatsu kinetic poseidon 113hp,motor diesel tohatsu vector 197hp,75
motor elétrico yamaha orca storm zenith 11hp,motor elétrico tohatsu zenith oceanic 113hp,80
motor elétrico yamaha orca storm zenith 11hp,motor elétrico yamaha flow 204hp,78
motor de popa yamaha thrust marlin nexus 182hp,motor de popa yamaha mako 108hp,78
motor elétrico tohatsu zenith oceanic 113hp,motor elétrico yamaha orca storm zenith 11hp,80
motor elétrico tohatsu zenith oceanic 113hp,motor diesel tohatsu zenith 60hp,77
motor elétrico yamaha nautic kraken 133hp,motor elétrico yamaha flow 204hp,78
