Original,Suspeito,Score
motor elétrico yamaha flow 204hp,motor elétrico yamaha swift drift current 265hp,78
motor elétrico yamaha flow 204hp,motor elétrico yamaha orca storm zenith 11hp,78
motor elétrico yamaha flow 204hp,motor elétrico yamaha nautic kraken 133hp,78
motor de popa volvo magnum 276hp,motor de popa volvo maré 69hp,87
motor de popa volvo magnum 276hp,motor de popa volvo hydro dash 256hp,76
motor diesel honda leviathan 133hp,motor diesel volvo flow leviathan maré 187hp,79
motor diesel honda leviathan 133hp,motor diesel honda prime 84hp,77
motor diesel honda leviathan 133hp,motor diesel honda aero 205hp,77
motor de popa tohatsu boost swift 126hp,motor de popa tohatsu evo 168hp,81
motor de popa tohatsu evo 168hp,motor de popa tohatsu ion core nautic 53hp,81
motor de popa tohatsu evo 168hp,motor de popa tohatsu poseidon helix prime 135hp,81
motor de popa tohatsu evo 168hp,motor de popa tohatsu boost swift 126hp,81
motor de popa tohatsu evo 168hp,motor diesel tohatsu evo zenith 16hp,78
motor diesel parsun velocity abyss orca 235hp,motor diesel yanmar velocity 37hp,78
motor diesel parsun velocity abyss orca 235hp,motor diesel parsun boost helix velocity 146hp,77
motor elétrico honda flux ultra 273hp,motor elétrico honda mako axis 131hp,76
cabo de nylon delta vortex,cabo de nylon delta force magnum leviathan,84
cabo de nylon delta vortex,cabo de nylon delta velocity oceanic abyss,84
cabo de nylon delta vortex,cabo de nylon delta velocity core mako,84
cabo de nylon bruce nexus,cabo de nylon bruce core,88
cabo de nylon bruce nexus,cabo de nylon bruce flux hydro,86
âncora delta swift,âncora delta mako ultra,79
âncora delta swift,âncora delta storm vox,79
âncora delta swift,âncora delta hydra kraken velocity,79
âncora delta swift,âncora delta force barracuda mako,79
cabo de nylon danforth prime,cabo de nylon danforth evo aqua mako,88
cabo de nylon danforth prime,cabo de nylon danforth orca aero,88
cabo de nylon danforth prime,cabo de nylon danforth kinetic,88
cabo de nylon danforth prime,cabo de nylon danforth titan poseidon,88
âncora danforth nitro titan vox,âncora danforth impulse,78
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce marlin hydra,92
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce titan,89
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce barracuda,83
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce nexus abyss,81
boia de arqueamento bruce titan,boia de arqueamento bruce tidal marlin,89
boia de arqueamento bruce titan,boia de arqueamento bruce marlin hydra,89
boia de arqueamento bruce titan,boia de arqueamento bruce nexus abyss,89
cabo de nylon danforth evo aqua mako,cabo de nylon danforth prime,88
cabo de nylon danforth evo aqua mako,cabo de nylon danforth kinetic,85
cabo de nylon danforth evo aqua mako,cabo de nylon danforth orca aero,82
cabo de nylon danforth evo aqua mako,cabo de nylon danforth magnum vox,81
corrente bruce current,corrente bruce nautic evo,78
boia de arqueamento danforth aero dash,boia de arqueamento danforth torque,89
boia de arqueamento danforth aero dash,boia de arqueamento danforth tidal zen swift,85
boia de arqueamento danforth aero dash,boia de arqueamento danforth flux tidal,85
boia de arqueamento danforth aero dash,boia de arqueamento danforth core vortex,85
corrente danforth tidal,corrente danforth zen abyss axis,85
corrente danforth tidal,corrente danforth zenith oceanic torque,85
corrente danforth tidal,corrente danforth hydro,85
corrente danforth tidal,corrente danforth force leviathan impulse,85
âncora delta mako ultra,âncora delta force barracuda mako,84
âncora delta mako ultra,âncora delta swift,79
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth flux tidal,93
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth torque,89
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth aero dash,85
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth core vortex,82
cabo de nylon delta force magnum leviathan,cabo de nylon delta vortex,84
cabo de nylon delta force magnum leviathan,cabo de nylon danforth magnum vox,75
cabo de nylon delta velocity oceanic abyss,cabo de nylon delta velocity core mako,85
cabo de nylon delta velocity oceanic abyss,cabo de nylon delta vortex,84
corrente danforth zen abyss axis,corrente danforth tidal,85
corrente danforth zen abyss axis,corrente danforth hydro,85
corrente danforth zen abyss axis,corrente delta axis,81
boia de arqueamento delta force vox,boia de arqueamento delta nexus,89
boia de arqueamento delta force vox,boia de arqueamento delta zen boost vortex,83
boia de arqueamento delta force vox,boia de arqueamento delta peak boost thrust,83
boia de arqueamento delta force vox,boia de arqueamento danforth core vortex,77
âncora bruce aqua,âncora bruce core pulse,81
boia de arqueamento danforth flux tidal,boia de arqueamento danforth tidal zen swift,93
boia de arqueamento danforth flux tidal,boia de arqueamento danforth torque,89
boia de arqueamento danforth flux tidal,boia de arqueamento danforth aero dash,85
boia de arqueamento danforth flux tidal,boia de arqueamento danforth core vortex,84
boia de arqueamento delta nexus,boia de arqueamento delta force vox,89
boia de arqueamento delta nexus,boia de arqueamento delta zen boost vortex,89
boia de arqueamento delta nexus,boia de arqueamento delta peak boost thrust,89
boia de arqueamento delta nexus,boia de arqueamento bruce nexus abyss,89
âncora danforth oceanic helix flux,âncora danforth impulse,78
corrente danforth zenith oceanic torque,corrente danforth tidal,85
corrente danforth zenith oceanic torque,corrente danforth hydro,85
cabo de nylon danforth orca aero,cabo de nylon danforth prime,88
cabo de nylon danforth orca aero,cabo de nylon danforth kinetic,85
cabo de nylon danforth orca aero,cabo de nylon danforth evo aqua mako,82
cabo de nylon danforth orca aero,cabo de nylon danforth titan poseidon,81
corrente delta axis,corrente delta boost,85
corrente delta axis,corrente delta vox ion,85
corrente delta axis,corrente danforth zen abyss axis,81
cabo de nylon danforth kinetic,cabo de nylon danforth prime,88
cabo de nylon danforth kinetic,cabo de nylon danforth evo aqua mako,85
cabo de nylon danforth kinetic,cabo de nylon danforth orca aero,85
cabo de nylon danforth kinetic,cabo de nylon danforth titan poseidon,85
corrente danforth hydro,corrente danforth tidal,85
corrente danforth hydro,corrente danforth zen abyss axis,85
corrente danforth hydro,corrente danforth zenith oceanic torque,85
corrente danforth hydro,corrente danforth force leviathan impulse,85
cabo de nylon delta velocity core mako,cabo de nylon bruce core,86
cabo de nylon delta velocity core mako,cabo de nylon delta velocity oceanic abyss,85
cabo de nylon delta velocity core mako,cabo de nylon delta vortex,84
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce tidal marlin,92
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce titan,89
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce barracuda,83
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce nexus abyss,81
corrente delta boost,corrente delta axis,85
corrente delta boost,corrente delta vox ion,82
boia de arqueamento delta zen boost vortex,boia de arqueamento delta nexus,89
boia de arqueamento delta zen boost vortex,boia de arqueamento delta peak boost thrust,85
boia de arqueamento delta zen boost vortex,boia de arqueamento delta force vox,83
boia de arqueamento delta zen boost vortex,boia de arqueamento danforth core vortex,79
boia de arqueamento danforth core vortex,boia de arqueamento danforth torque,89
boia de arqueamento danforth core vortex,boia de arqueamento danforth aero dash,85
boia de arqueamento danforth core vortex,boia de arqueamento danforth flux tidal,84
boia de arqueamento danforth core vortex,boia de arqueamento danforth tidal zen swift,82
corrente bruce nautic evo,corrente bruce current,78
âncora bruce core pulse,âncora bruce aqua,81
âncora delta storm vox,âncora delta swift,79
cabo de nylon danforth titan poseidon,cabo de nylon danforth prime,88
cabo de nylon danforth titan poseidon,cabo de nylon danforth kinetic,85
cabo de nylon danforth titan poseidon,cabo de nylon danforth orca aero,81
cabo de nylon danforth titan poseidon,cabo de nylon danforth magnum vox,80
cabo de nylon bruce flux hydro,cabo de nylon bruce core,88
cabo de nylon bruce flux hydro,cabo de nylon bruce nexus,86
âncora danforth impulse,corrente danforth force leviathan impulse,84
âncora danforth impulse,âncora danforth nitro titan vox,78
âncora danforth impulse,âncora danforth oceanic helix flux,78
âncora danforth impulse,âncora danforth vector evo,78
boia de arqueamento delta peak boost thrust,boia de arqueamento delta nexus,89
boia de arqueamento delta peak boost thrust,boia de arqueamento delta zen boost vortex,85
boia de arqueamento delta peak boost thrust,boia de arqueamento delta force vox,83
boia de arqueamento delta peak boost thrust,boia de arqueamento bruce titan,76
boia de arqueamento danforth torque,boia de arqueamento danforth aero dash,89
boia de arqueamento danforth torque,boia de arqueamento danforth tidal zen swift,89
boia de arqueamento danforth torque,boia de arqueamento danforth flux tidal,89
boia de arqueamento danforth torque,boia de arqueamento danforth core vortex,89
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce barracuda,83
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce nexus abyss,81
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce tidal marlin,80
boia de arqueamento bruce nexus abyss,boia de arqueamento bruce titan,89
boia de arqueamento bruce nexus abyss,boia de arqueamento delta nexus,89
boia de arqueamento bruce nexus abyss,boia de arqueamento bruce barracuda,83
boia de arqueamento bruce nexus abyss,boia de arqueamento bruce tidal marlin,81
âncora danforth vector evo,âncora danforth impulse,78
âncora delta hydra kraken velocity,âncora delta swift,79
boia de arqueamento bruce barracuda,boia de arqueamento bruce titan,89
boia de arqueamento bruce barracuda,boia de arqueamento bruce tidal marlin,83
boia de arqueamento bruce barracuda,boia de arqueamento bruce marlin hydra,83
boia de arqueamento bruce barracuda,boia de arqueamento bruce dash titan pulse,83
corrente delta vox ion,corrente delta axis,85
corrente delta vox ion,corrente delta boost,82
corrente danforth force leviathan impulse,corrente danforth tidal,85
corrente danforth force leviathan impulse,corrente danforth hydro,85
corrente danforth force leviathan impulse,âncora danforth impulse,84
âncora delta force barracuda mako,âncora delta mako ultra,84
âncora delta force barracuda mako,âncora delta swift,79
cabo de nylon bruce core,cabo de nylon bruce nexus,88
cabo de nylon bruce core,cabo de nylon bruce flux hydro,88
cabo de nylon bruce core,cabo de nylon delta velocity core mako,86
cabo de nylon bruce core,cabo de nylon delta vortex,76
cabo de nylon danforth magnum vox,cabo de nylon danforth prime,88
cabo de nylon danforth magnum vox,cabo de nylon danforth kinetic,85
cabo de nylon danforth magnum vox,cabo de nylon danforth orca aero,81
cabo de nylon danforth magnum vox,cabo de nylon danforth evo aqua mako,81
transponder furuno marlin,transponder furuno force ion,79
piloto automático furuno storm,piloto automático furuno torque peak,84
transponder ais titan pulse,transponder ais boost,75
transponder ais titan pulse,transponder furuno pulse axis,75
piloto automático simrad titan flux magnum,piloto automático simrad poseidon magnum,75
rádio furuno zen swift,radar furuno swift,77
rádio simrad axis,rádio simrad orca,81
transponder furuno force ion,transponder furuno marlin,79
piloto automático furuno torque peak,piloto automático furuno storm,84
rádio simrad orca,rádio simrad axis,81
transponder ais boost,transponder ais titan pulse,75
transponder furuno pulse axis,transponder ais titan pulse,75
transponder ais helix torque,transponder lowrance axis,75
radar furuno swift,sonda furuno swift,83
radar furuno swift,rádio furuno zen swift,77
transponder lowrance axis,transponder ais helix torque,75
sonda furuno swift,radar furuno swift,83
piloto automático simrad poseidon magnum,piloto automático simrad titan flux magnum,75
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu zenith 60hp,91
motor diesel tohatsu evo zenith 16hp,motor diesel tohatsu vector 197hp,78
motor diesel tohatsu evo zenith 16hp,motor de popa tohatsu evo 168hp,75
motor de popa yamaha evo dash 155hp,motor de popa yamaha mako 108hp,79
motor de popa yamaha mako 108hp,motor de popa yamaha evo dash 155hp,79
motor diesel parsun boost helix velocity 146hp,motor diesel parsun velocity abyss orca 235hp,75
motor de popa volvo hydro dash 256hp,motor de popa volvo maré 69hp,78
motor diesel tohatsu vector 197hp,motor diesel tohatsu zenith 60hp,80
motor diesel tohatsu vector 197hp,motor diesel tohatsu evo zenith 16hp,78
motor diesel tohatsu zenith 60hp,motor diesel tohatsu evo zenith 16hp,91
motor diesel tohatsu zenith 60hp,motor diesel tohatsu vector 197hp,80
motor de popa volvo maré 69hp,motor de popa volvo magnum 276hp,87
motor de popa volvo maré 69hp,motor de popa volvo hydro dash 256hp,78
motor elétrico yamaha orca storm zenith 11hp,motor elétrico tohatsu zenith oceanic 113hp,80
motor elétrico tohatsu zenith oceanic 113hp,motor elétrico yamaha orca storm zenith 11hp,80
motor de popa volvo magnum 276hp,motor de popa volvo maré 69hp,87
motor de popa tohatsu evo 168hp,motor diesel tohatsu evo zenith 16hp,75
motor diesel parsun velocity abyss orca 235hp,motor diesel parsun boost helix velocity 146hp,75
cabo de nylon delta vortex,cabo de nylon delta zen vortex storm,84
cabo de nylon bruce nexus,cabo de nylon bruce core,82
cabo de nylon bruce nexus,cabo de nylon bruce flux hydro,76
cabo de nylon delta zen vortex storm,cabo de nylon delta vortex,84
cabo de nylon danforth prime,cabo de nylon danforth orca aero,80
cabo de nylon danforth prime,cabo de nylon danforth titan poseidon,77
cabo de nylon danforth prime,cabo de nylon danforth kinetic,76
cabo de nylon danforth prime,cabo de nylon danforth magnum vox,75
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce marlin hydra,84
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce titan,84
boia de arqueamento bruce tidal marlin,boia de arqueamento bruce dash titan pulse,78
boia de arqueamento bruce tidal marlin,boia de arqueamento danforth flux tidal,75
boia de arqueamento bruce titan,boia de arqueamento bruce dash titan pulse,85
boia de arqueamento bruce titan,boia de arqueamento bruce tidal marlin,84
boia de arqueamento bruce titan,boia de arqueamento bruce marlin hydra,81
boia de arqueamento bruce titan,boia de arqueamento bruce nexus abyss,79
corrente bruce current,corrente bruce nautic evo,77
boia de arqueamento danforth aero dash,boia de arqueamento danforth torque,79
boia de arqueamento danforth aero dash,boia de arqueamento danforth tidal zen swift,76
boia de arqueamento danforth aero dash,boia de arqueamento danforth flux tidal,75
corrente danforth tidal,corrente danforth hydro,83
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth flux tidal,87
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth torque,78
boia de arqueamento danforth tidal zen swift,boia de arqueamento danforth aero dash,76
boia de arqueamento delta force vox,boia de arqueamento delta nexus,85
boia de arqueamento delta force vox,boia de arqueamento delta zen boost vortex,78
boia de arqueamento delta force vox,boia de arqueamento danforth core vortex,77
boia de arqueamento danforth flux tidal,boia de arqueamento danforth tidal zen swift,87
boia de arqueamento danforth flux tidal,boia de arqueamento danforth torque,81
boia de arqueamento danforth flux tidal,boia de arqueamento danforth core vortex,76
boia de arqueamento danforth flux tidal,boia de arqueamento bruce tidal marlin,75
boia de arqueamento delta nexus,boia de arqueamento delta force vox,85
boia de arqueamento delta nexus,boia de arqueamento bruce nexus abyss,79
boia de arqueamento delta nexus,boia de arqueamento delta peak boost thrust,78
boia de arqueamento delta nexus,boia de arqueamento bruce titan,77
cabo de nylon danforth orca aero,cabo de nylon danforth prime,80
corrente delta axis,corrente delta boost,82
cabo de nylon danforth kinetic,cabo de nylon danforth magnum vox,76
cabo de nylon danforth kinetic,cabo de nylon danforth prime,76
corrente danforth hydro,corrente danforth tidal,83
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce tidal marlin,84
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce titan,81
boia de arqueamento bruce marlin hydra,boia de arqueamento bruce dash titan pulse,75
corrente delta boost,corrente delta axis,82
boia de arqueamento delta zen boost vortex,boia de arqueamento delta peak boost thrust,80
boia de arqueamento delta zen boost vortex,boia de arqueamento delta force vox,78
boia de arqueamento delta zen boost vortex,boia de arqueamento delta nexus,77
boia de arqueamento danforth core vortex,boia de arqueamento danforth torque,85
boia de arqueamento danforth core vortex,boia de arqueamento delta force vox,77
boia de arqueamento danforth core vortex,boia de arqueamento danforth flux tidal,76
corrente bruce nautic evo,corrente bruce current,77
cabo de nylon danforth titan poseidon,cabo de nylon danforth prime,77
cabo de nylon bruce flux hydro,cabo de nylon bruce nexus,76
boia de arqueamento delta peak boost thrust,boia de arqueamento delta zen boost vortex,80
boia de arqueamento delta peak boost thrust,boia de arqueamento delta nexus,78
boia de arqueamento danforth torque,boia de arqueamento danforth core vortex,85
boia de arqueamento danforth torque,boia de arqueamento danforth flux tidal,81
boia de arqueamento danforth torque,boia de arqueamento danforth aero dash,79
boia de arqueamento danforth torque,boia de arqueamento danforth tidal zen swift,78
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce titan,85
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce tidal marlin,78
boia de arqueamento bruce dash titan pulse,boia de arqueamento bruce marlin hydra,75
boia de arqueamento bruce nexus abyss,boia de arqueamento bruce titan,79
boia de arqueamento bruce nexus abyss,boia de arqueamento delta nexus,79
boia de arqueamento bruce barracuda,boia de arqueamento bruce titan,76
cabo de nylon bruce core,cabo de nylon bruce nexus,82
cabo de nylon danforth magnum vox,cabo de nylon danforth kinetic,76
cabo de nylon danforth magnum vox,cabo de nylon danforth prime,75
